claim_id,description,actual_severity,filing_date
CLM00001,"Bird damage to paint on hood on 09/08/2025. 2019 Honda Accord. Etching visible, needs touch-up.",Low,2025-09-08
CLM00002,Small scratch along driver side door noticed on 178 days ago. Unknown cause. 2020 Subaru Outback parked at Cambridge Plaza.,Low,2025-04-10
CLM00003,Windshield chip from road debris on 11/07/2024 while driving on Hill Ave. 2021 Mazda CX-5. Small chip needs repair before it spreads.,Low,2024-11-07
CLM00004,Fender bender on 300 days ago at Oak Ave in Boston. 2019 Nissan Altima damage to trunk. Both drivers remained at scene.,Medium,2024-12-09
CLM00005,Minor parking lot incident on 304 days ago. Small scratch on front bumper of my 2020 Lexus RX. No injuries. Other party left contact information.,Low,2024-12-05
CLM00006,Shopping cart dent on hood at Waltham shopping center on 04/24/2025. 2019 Audi A4. Superficial damage only.,Low,2025-04-24
CLM00007,Broken windshield discovered on 11/28/2024 at Cambridge Shopping Center. Likely vandalism while parked. 2019 Honda Accord.,Low,2024-11-28
CLM00008,"Side-swiped on highway near Malden on May 22, 2025. 2018 Ford F-150 has damage to fender and driver side door. Other driver cited for unsafe lane change.",Medium,2025-05-22
CLM00009,Side-swiped on highway near Boston on 08/21/2025. 2019 Nissan Altima has damage to rear bumper and windshield. Other driver cited for unsafe lane change.,Medium,2025-08-21
CLM00010,Vehicle struck by falling branch during storm on 328 days ago. 2019 Nissan Altima has damage to side mirror and windshield. Tree maintenance company notified.,Medium,2024-11-11
CLM00011,"Backed into pole in parking lot on 212 days ago at Medford Shopping Center. 2019 Audi A4 has dent in driver side door. My fault, estimated repair cost $3,500.",Medium,2025-03-07
CLM00012,Broken rear bumper discovered on 05/15/2025 at Hartford Plaza. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2025-05-15
CLM00013,"My 2020 GMC Sierra was struck by drunk driver on 159 days ago at Springfield Plaza. Extensive damage to headlight, hood, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-04-29
CLM00014,"Broken quarter panel discovered on March 13, 2025 at Brookline Mall. Likely vandalism while parked. 2018 Jeep Wrangler.",Low,2025-03-13
CLM00015,"Small scratch along windshield noticed on November 11, 2024. Unknown cause. 2020 Chevrolet Silverado parked at Waltham Plaza.",Low,2024-11-11
CLM00016,"Minor bumper contact in parking garage on February 10, 2025. 2020 Toyota Camry. Both parties exchanged information.",Low,2025-02-10
CLM00017,"My 2022 Acura MDX was struck by drunk driver on May 02, 2025 at Malden Parking Garage. Extensive damage to windshield, side mirror, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-05-02
CLM00018,"Hit by opening car door on December 11, 2024 at Lynn Shopping Center. Damage to rear bumper of my 2019 Honda Accord. Other party admitted fault.",Medium,2024-12-11
CLM00019,"Small scratch along hood noticed on November 13, 2024. Unknown cause. 2020 Kia Sorento parked at Providence Shopping Center.",Low,2024-11-13
CLM00020,Shopping cart dent on tail light at Quincy shopping center on 12/19/2024. 2022 Mercedes-Benz C-Class. Superficial damage only.,Low,2024-12-19
CLM00021,Broken front bumper discovered on 303 days ago at Cambridge Parking Garage. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2024-12-06
CLM00022,Broken trunk discovered on 04/21/2025 at Newton Shopping Center. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2025-04-21
CLM00023,Rear-ended at intersection of River Road and Park Ave in Brookline on 154 days ago. My 2020 Chevrolet Silverado sustained moderate damage to side mirror. Police report filed.,Medium,2025-05-04
CLM00024,Tire damage from pothole on Pine Road on 181 days ago. 2020 Subaru Outback. Tire needs replacement.,Low,2025-04-07
CLM00025,Minor scrape on headlight while parking on 187 days ago at Quincy Parking Garage. 2020 Chevrolet Silverado. Paint transfer visible.,Low,2025-04-01
CLM00026,Minor parking lot incident on 194 days ago. Small scratch on tail light of my 2020 Toyota Camry. No injuries. Other party left contact information.,Low,2025-03-25
CLM00027,Shopping cart dent on passenger side at Lowell shopping center on 186 days ago. 2022 Acura MDX. Superficial damage only.,Low,2025-04-02
CLM00028,Minor bumper contact in parking garage on 11/28/2024. 2018 Dodge Ram. Both parties exchanged information.,Low,2024-11-28
CLM00029,Rear-ended at intersection of Union Street and Oak Ave in Waltham on 09/13/2025. My 2020 Chevrolet Silverado sustained moderate damage to fender. Police report filed.,Medium,2025-09-13
CLM00030,Minor scrape on passenger side while parking on 93 days ago at Cambridge Mall. 2018 Ford F-150. Paint transfer visible.,Low,2025-07-04
CLM00031,"Minor scrape on fender while parking on August 01, 2025 at Springfield Parking Garage. 2019 Honda Accord. Paint transfer visible.",Low,2025-08-01
CLM00032,Hit and run while parked on 11/27/2024 at Worcester Plaza. 2021 Volvo XC90 has significant damage to side mirror. Witnesses provided partial plate number.,Medium,2024-11-27
CLM00033,Windshield chip from road debris on 01/10/2025 while driving on Lake Street. 2019 Infiniti Q50. Small chip needs repair before it spreads.,Low,2025-01-10
CLM00034,"Rear-ended at intersection of Elm Street and Oak Ave in Somerville on June 11, 2025. My 2020 Lexus RX sustained moderate damage to side mirror. Police report filed.",Medium,2025-06-11
CLM00035,"Small dent from hail storm on December 11, 2024. 2021 Mazda CX-5 parked at Providence Shopping Center. passenger side affected.",Low,2024-12-11
CLM00036,"Small dent from hail storm on February 09, 2025. 2022 Mercedes-Benz C-Class parked at Springfield Plaza. quarter panel affected.",Low,2025-02-09
CLM00037,Minor bumper contact in parking garage on 341 days ago. 2021 Tesla Model 3. Both parties exchanged information.,Low,2024-10-29
CLM00038,Shopping cart dent on tail light at Waltham shopping center on 02/22/2025. 2022 BMW X5. Superficial damage only.,Low,2025-02-22
CLM00039,"Minor scrape on passenger side while parking on October 29, 2024 at Medford Mall. 2020 Lexus RX. Paint transfer visible.",Low,2024-10-29
CLM00040,Minor parking lot incident on 307 days ago. Small scratch on trunk of my 2021 Tesla Model 3. No injuries. Other party left contact information.,Low,2024-12-02
CLM00041,Vehicle struck by falling branch during storm on 03/31/2025. 2020 GMC Sierra has damage to driver side door and windshield. Tree maintenance company notified.,Medium,2025-03-31
CLM00042,Total loss - 2021 Tesla Model 3 completely submerged during flooding on Church St near Boston on 01/02/2025. Water reached dashboard level. Engine and interior destroyed. Vehicle not drivable. Towing required.,High,2025-01-02
CLM00043,"Backed into pole in parking lot on 10/06/2024 at Somerville Mall. 2019 Honda Accord has dent in quarter panel. My fault, estimated repair cost $3,500.",Medium,2024-10-06
CLM00044,"Minor scrape on fender while parking on October 19, 2024 at Providence Plaza. 2018 Jeep Wrangler. Paint transfer visible.",Low,2024-10-19
