claim_id,description,actual_severity,filing_date
CLM00001,Side-swiped on highway near Newton on 09/22/2025. 2021 Tesla Model 3 has damage to side mirror and quarter panel. Other driver cited for unsafe lane change.,Medium,2025-09-22
CLM00002,"Devastating hail storm on 04/22/2025 damaged 2022 Mercedes-Benz C-Class and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2025-04-22
CLM00003,"URGENT: Major collision on October 25, 2024 at Church St and Pine Road in Brookline. My 2018 Jeep Wrangler was hit by driver who ran red light. Extensive damage to side mirror, hood, and fender. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-10-25
CLM00004,Small scratch along hood noticed on 54 days ago. Unknown cause. 2022 BMW X5 parked at Cambridge Plaza.,Low,2025-08-12
CLM00005,Minor bumper contact in parking garage on 144 days ago. 2020 Chevrolet Silverado. Both parties exchanged information.,Low,2025-05-14
CLM00006,Rear-ended at intersection of Lake Street and Washington Blvd in Lowell on 217 days ago. My 2022 Mercedes-Benz C-Class sustained moderate damage to passenger side. Police report filed.,Medium,2025-03-02
CLM00007,Small dent from hail storm on 04/14/2025. 2020 Kia Sorento parked at Malden Shopping Center. headlight affected.,Low,2025-04-14
CLM00008,Collision with deer on Hill Ave near Somerville on 03/19/2025. 2020 Toyota Camry has front-end damage including windshield and passenger side. Police report available.,Medium,2025-03-19
CLM00009,Broken fender discovered on 16 days ago at Waltham Mall. Likely vandalism while parked. 2022 Mercedes-Benz C-Class.,Low,2025-09-19
CLM00010,Vehicle struck by falling branch during storm on 12/14/2024. 2022 Mercedes-Benz C-Class has damage to front bumper and windshield. Tree maintenance company notified.,Medium,2024-12-14
CLM00011,"Hit by opening car door on June 19, 2025 at Newton Shopping Center. Damage to fender of my 2020 Lexus RX. Other party admitted fault.",Medium,2025-06-19
CLM00012,"URGENT: 2021 Tesla Model 3 stolen from Somerville Shopping Center on October 12, 2024. Vehicle found abandoned three days later with severe damage. tail light and quarter panel destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.",High,2024-10-12
CLM00013,Fender bender on 12/23/2024 at Washington Blvd in Medford. 2020 Kia Sorento damage to driver side door. Both drivers remained at scene.,Medium,2024-12-23
CLM00014,Broken quarter panel discovered on 51 days ago at Newton Plaza. Likely vandalism while parked. 2018 Ford F-150.,Low,2025-08-15
CLM00015,"Minor parking lot incident on February 14, 2025. Small scratch on hood of my 2019 Infiniti Q50. No injuries. Other party left contact information.",Low,2025-02-14
CLM00016,"Backed into pole in parking lot on 05/11/2025 at Waltham Plaza. 2022 BMW X5 has dent in quarter panel. My fault, estimated repair cost $3,500.",Medium,2025-05-11
CLM00017,"Vehicle damaged by shopping cart blown by wind on October 03, 2025. 2021 Volvo XC90 has dents on driver side door. Security footage available.",Medium,2025-10-03
CLM00018,"Small scratch along windshield noticed on December 30, 2024. Unknown cause. 2021 Volvo XC90 parked at Boston Parking Garage.",Low,2024-12-30
CLM00019,Side-swiped on highway near Quincy on 08/01/2025. 2022 Mercedes-Benz C-Class has damage to front bumper and front bumper. Other driver cited for unsafe lane change.,Medium,2025-08-01
CLM00020,Small dent from hail storm on 03/12/2025. 2019 Nissan Altima parked at Cambridge Mall. front bumper affected.,Low,2025-03-12
CLM00021,"Shopping cart dent on hood at Newton shopping center on July 30, 2025. 2021 Volkswagen Jetta. Superficial damage only.",Low,2025-07-30
CLM00022,"Minor parking lot incident on September 18, 2025. Small scratch on side mirror of my 2022 BMW X5. No injuries. Other party left contact information.",Low,2025-09-18
CLM00023,"Bird damage to paint on hood on 279 days ago. 2021 Tesla Model 3. Etching visible, needs touch-up.",Low,2024-12-30
CLM00024,"Shopping cart dent on headlight at Brookline shopping center on November 15, 2024. 2020 Chevrolet Silverado. Superficial damage only.",Low,2024-11-15
CLM00025,Vehicle struck by falling branch during storm on 280 days ago. 2019 Nissan Altima has damage to front bumper and windshield. Tree maintenance company notified.,Medium,2024-12-29
CLM00026,"Bird damage to paint on hood on 301 days ago. 2021 Volvo XC90. Etching visible, needs touch-up.",Low,2024-12-08
CLM00027,Severe accident on highway near Newton on 252 days ago. 2022 BMW X5 struck by semi-truck. Major damage to entire trunk side. Vehicle towed from scene. Hospital treatment required. Police report number RPT515339.,High,2025-01-26
CLM00028,"Backed into pole in parking lot on August 08, 2025 at Quincy Mall. 2019 Hyundai Elantra has dent in headlight. My fault, estimated repair cost $3,500.",Medium,2025-08-08
