claim_id,description,actual_severity,filing_date
CLM00001,"Minor bumper contact in parking garage on August 21, 2025. 2020 Chevrolet Silverado. Both parties exchanged information.",Low,2025-08-21
CLM00002,"Bird damage to paint on hood on 328 days ago. 2018 Jeep Wrangler. Etching visible, needs touch-up.",Low,2024-11-11
CLM00003,"Small scratch along headlight noticed on March 10, 2025. Unknown cause. 2020 Toyota Camry parked at Medford Mall.",Low,2025-03-10
CLM00004,"URGENT: Major collision on November 11, 2024 at Maple Drive and Elm Street in Waltham. My 2020 Chevrolet Silverado was hit by driver who ran red light. Extensive damage to trunk, headlight, and passenger side. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-11-11
CLM00005,"Hit and run while parked on January 03, 2025 at Malden Parking Garage. 2019 Nissan Altima has significant damage to quarter panel. Witnesses provided partial plate number.",Medium,2025-01-03
CLM00006,Broken headlight discovered on 03/23/2025 at Waltham Plaza. Likely vandalism while parked. 2021 Mazda CX-5.,Low,2025-03-23
CLM00007,"Bird damage to paint on hood on October 21, 2024. 2020 Chevrolet Silverado. Etching visible, needs touch-up.",Low,2024-10-21
CLM00008,"Shopping cart dent on tail light at Medford shopping center on October 13, 2024. 2022 Mercedes-Benz C-Class. Superficial damage only.",Low,2024-10-13
CLM00009,Broken hood discovered on 333 days ago at Malden Mall. Likely vandalism while parked. 2020 Toyota Camry.,Low,2024-11-06
CLM00010,"Backed into pole in parking lot on 05/05/2025 at Springfield Mall. 2022 BMW X5 has dent in tail light. My fault, estimated repair cost $3,500.",Medium,2025-05-05
CLM00011,"Vehicle struck by falling branch during storm on October 26, 2024. 2019 Audi A4 has damage to quarter panel and windshield. Tree maintenance company notified.",Medium,2024-10-26
CLM00012,Shopping cart dent on windshield at Springfield shopping center on 10/04/2025. 2019 Nissan Altima. Superficial damage only.,Low,2025-10-04
CLM00013,Hit by opening car door on 09/11/2025 at Quincy Shopping Center. Damage to front bumper of my 2018 Ford F-150. Other party admitted fault.,Medium,2025-09-11
CLM00014,"Fender bender on May 19, 2025 at Lake Street in Malden. 2019 Audi A4 damage to rear bumper. Both drivers remained at scene.",Medium,2025-05-19
CLM00015,Fender bender on 09/08/2025 at Washington Blvd in Lowell. 2022 BMW X5 damage to trunk. Both drivers remained at scene.,Medium,2025-09-08
CLM00016,Minor parking lot incident on 232 days ago. Small scratch on rear bumper of my 2020 Kia Sorento. No injuries. Other party left contact information.,Low,2025-02-15
CLM00017,Vehicle struck by falling branch during storm on 244 days ago. 2020 Chevrolet Silverado has damage to rear bumper and windshield. Tree maintenance company notified.,Medium,2025-02-03
CLM00018,Minor parking lot incident on 02/02/2025. Small scratch on headlight of my 2019 Infiniti Q50. No injuries. Other party left contact information.,Low,2025-02-02
CLM00019,Broken headlight discovered on 10/30/2024 at Springfield Shopping Center. Likely vandalism while parked. 2019 Audi A4.,Low,2024-10-30
CLM00020,Minor parking lot incident on 90 days ago. Small scratch on quarter panel of my 2020 Toyota Camry. No injuries. Other party left contact information.,Low,2025-07-07
CLM00021,"Devastating hail storm on 208 days ago damaged 2021 Volvo XC90 and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2025-03-11
CLM00022,Minor parking lot incident on 280 days ago. Small scratch on hood of my 2020 Kia Sorento. No injuries. Other party left contact information.,Low,2024-12-29
CLM00023,Broken rear bumper discovered on 03/18/2025 at Malden Plaza. Likely vandalism while parked. 2021 Mazda CX-5.,Low,2025-03-18
CLM00024,Minor collision at stoplight on 340 days ago. 2021 Volkswagen Jetta bumped from behind. Damage to driver side door.,Medium,2024-10-30
CLM00025,Collision with deer on Church St near Medford on 06/09/2025. 2018 Dodge Ram has front-end damage including hood and windshield. Police report available.,Medium,2025-06-09
CLM00026,"Vehicle struck by falling branch during storm on March 30, 2025. 2020 Toyota Camry has damage to driver side door and windshield. Tree maintenance company notified.",Medium,2025-03-30
CLM00027,"Backed into pole in parking lot on 12/10/2024 at Lowell Shopping Center. 2019 Infiniti Q50 has dent in driver side door. My fault, estimated repair cost $3,500.",Medium,2024-12-10
CLM00028,"Bird damage to paint on hood on 104 days ago. 2021 Volvo XC90. Etching visible, needs touch-up.",Low,2025-06-23
CLM00029,Windshield chip from road debris on 327 days ago while driving on Elm Street. 2019 Infiniti Q50. Small chip needs repair before it spreads.,Low,2024-11-12
CLM00030,Hit by opening car door on 80 days ago at Hartford Plaza. Damage to rear bumper of my 2022 Acura MDX. Other party admitted fault.,Medium,2025-07-17
CLM00031,Minor collision at stoplight on 03/04/2025. 2022 Mercedes-Benz C-Class bumped from behind. Damage to headlight.,Medium,2025-03-04
CLM00032,Hit by opening car door on 265 days ago at Lynn Parking Garage. Damage to hood of my 2020 Subaru Outback. Other party admitted fault.,Medium,2025-01-13
CLM00033,"Broken front bumper discovered on November 29, 2024 at Newton Shopping Center. Likely vandalism while parked. 2022 BMW X5.",Low,2024-11-29
CLM00034,"Collision with deer on Highland Ave near Worcester on May 09, 2025. 2020 Toyota Camry has front-end damage including tail light and driver side door. Police report available.",Medium,2025-05-09
CLM00035,"Bird damage to paint on hood on August 21, 2025. 2020 Lexus RX. Etching visible, needs touch-up.",Low,2025-08-21
