claim_id,description,actual_severity,filing_date
CLM00001,Shopping cart dent on front bumper at Malden shopping center on 356 days ago. 2022 Mercedes-Benz C-Class. Superficial damage only.,Low,2024-10-14
CLM00002,"Small scratch along windshield noticed on March 18, 2025. Unknown cause. 2021 Mazda CX-5 parked at Boston Mall.",Low,2025-03-18
CLM00003,Side-swiped on highway near Medford on 12/15/2024. 2021 Volkswagen Jetta has damage to front bumper and quarter panel. Other driver cited for unsafe lane change.,Medium,2024-12-15
CLM00004,Minor bumper contact in parking garage on 192 days ago. 2020 Kia Sorento. Both parties exchanged information.,Low,2025-03-27
CLM00005,"URGENT: House fire at 7136 School Road, Brookline on April 06, 2025. Kitchen completely destroyed. Smoke and fire damage throughout first floor. Estimated damage $150,000. Fire department report available. Family displaced.",High,2025-04-06
CLM00006,Fender bender on 146 days ago at Forest Drive in Brookline. 2020 GMC Sierra damage to front bumper. Both drivers remained at scene.,Medium,2025-05-12
CLM00007,Small dent from hail storm on 01/08/2025. 2022 Acura MDX parked at Providence Plaza. trunk affected.,Low,2025-01-08
CLM00008,"URGENT: Major collision on 356 days ago at Hill Ave and Oak Ave in Medford. My 2019 Honda Accord was hit by driver who ran red light. Extensive damage to hood, driver side door, and side mirror. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-10-14
CLM00009,"Backed into pole in parking lot on 10/31/2024 at Worcester Plaza. 2022 Mercedes-Benz C-Class has dent in quarter panel. My fault, estimated repair cost $3,500.",Medium,2024-10-31
CLM00010,"Vehicle struck by falling branch during storm on July 24, 2025. 2018 Dodge Ram has damage to headlight and windshield. Tree maintenance company notified.",Medium,2025-07-24
CLM00011,Shopping cart dent on fender at Waltham shopping center on 149 days ago. 2021 Volvo XC90. Superficial damage only.,Low,2025-05-09
CLM00012,Tire damage from pothole on Cedar Lane on 08/19/2025. 2021 Tesla Model 3. Tire needs replacement.,Low,2025-08-19
CLM00013,"Multi-vehicle pileup on September 29, 2025 on highway near Quincy. 2022 BMW X5 sandwiched between two vehicles. Damage to front and rear including side mirror, windshield, fender. Major traffic incident with police investigation ongoing.",High,2025-09-29
CLM00014,"Backed into pole in parking lot on March 14, 2025 at Boston Parking Garage. 2021 Tesla Model 3 has dent in front bumper. My fault, estimated repair cost $3,500.",Medium,2025-03-14
CLM00015,Windshield chip from road debris on 217 days ago while driving on Main St. 2021 Volvo XC90. Small chip needs repair before it spreads.,Low,2025-03-02
CLM00016,Small dent from hail storm on 130 days ago. 2019 Audi A4 parked at Providence Shopping Center. front bumper affected.,Low,2025-05-28
CLM00017,"Minor parking lot incident on July 09, 2025. Small scratch on headlight of my 2019 Hyundai Elantra. No injuries. Other party left contact information.",Low,2025-07-09
CLM00018,Shopping cart dent on rear bumper at Malden shopping center on 05/22/2025. 2020 Kia Sorento. Superficial damage only.,Low,2025-05-22
CLM00019,Minor collision at stoplight on 349 days ago. 2019 Nissan Altima bumped from behind. Damage to passenger side.,Medium,2024-10-21
CLM00020,"Side-swiped on highway near Newton on May 04, 2025. 2021 Tesla Model 3 has damage to fender and tail light. Other driver cited for unsafe lane change.",Medium,2025-05-04
CLM00021,"Broken hood discovered on November 21, 2024 at Medford Plaza. Likely vandalism while parked. 2020 Lexus RX.",Low,2024-11-21
CLM00022,"Minor collision at stoplight on April 14, 2025. 2021 Volkswagen Jetta bumped from behind. Damage to driver side door.",Medium,2025-04-14
CLM00023,"Minor scrape on hood while parking on May 20, 2025 at Providence Plaza. 2020 GMC Sierra. Paint transfer visible.",Low,2025-05-20
CLM00024,Fender bender on 12/22/2024 at Washington Blvd in Newton. 2019 Nissan Altima damage to windshield. Both drivers remained at scene.,Medium,2024-12-22
CLM00025,Broken quarter panel discovered on 02/10/2025 at Newton Parking Garage. Likely vandalism while parked. 2018 Dodge Ram.,Low,2025-02-10
CLM00026,Shopping cart dent on hood at Quincy shopping center on 195 days ago. 2020 Subaru Outback. Superficial damage only.,Low,2025-03-24
CLM00027,Minor collision at stoplight on 02/06/2025. 2020 Subaru Outback bumped from behind. Damage to fender.,Medium,2025-02-06
CLM00028,"Devastating hail storm on 08/02/2025 damaged 2020 GMC Sierra and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2025-08-02
CLM00029,Broken side mirror discovered on 09/26/2025 at Worcester Plaza. Likely vandalism while parked. 2020 Kia Sorento.,Low,2025-09-26
CLM00030,Shopping cart dent on rear bumper at Providence shopping center on 11/06/2024. 2021 Tesla Model 3. Superficial damage only.,Low,2024-11-06
CLM00031,"Multi-vehicle pileup on April 15, 2025 on highway near Malden. 2019 Honda Accord sandwiched between two vehicles. Damage to front and rear including side mirror, driver side door, front bumper. Major traffic incident with police investigation ongoing.",High,2025-04-15
CLM00032,Minor parking lot incident on 221 days ago. Small scratch on rear bumper of my 2018 Jeep Wrangler. No injuries. Other party left contact information.,Low,2025-02-26
CLM00033,Fender bender on 253 days ago at Park Ave in Providence. 2021 Volvo XC90 damage to headlight. Both drivers remained at scene.,Medium,2025-01-25
CLM00034,Small scratch along hood noticed on 98 days ago. Unknown cause. 2019 Hyundai Elantra parked at Lowell Mall.,Low,2025-06-29
CLM00035,Broken side mirror discovered on 107 days ago at Springfield Shopping Center. Likely vandalism while parked. 2018 Jeep Wrangler.,Low,2025-06-20
CLM00036,Rear-ended at intersection of Broadway and Pleasant St in Cambridge on 12/24/2024. My 2020 Toyota Camry sustained moderate damage to trunk. Police report filed.,Medium,2024-12-24
CLM00037,Minor scrape on passenger side while parking on 1 days ago at Quincy Plaza. 2018 Dodge Ram. Paint transfer visible.,Low,2025-10-04
CLM00038,"Minor scrape on driver side door while parking on February 22, 2025 at Malden Plaza. 2020 Kia Sorento. Paint transfer visible.",Low,2025-02-22
CLM00039,"Tire damage from pothole on Oak Ave on January 26, 2025. 2022 BMW X5. Tire needs replacement.",Low,2025-01-26
CLM00040,"Bird damage to paint on hood on 07/24/2025. 2021 Volkswagen Jetta. Etching visible, needs touch-up.",Low,2025-07-24
CLM00041,"My 2019 Honda Accord was struck by drunk driver on 05/29/2025 at Lynn Parking Garage. Extensive damage to fender, fender, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-05-29
CLM00042,Shopping cart dent on driver side door at Boston shopping center on 264 days ago. 2020 Lexus RX. Superficial damage only.,Low,2025-01-14
CLM00043,"Minor scrape on tail light while parking on January 12, 2025 at Medford Parking Garage. 2020 GMC Sierra. Paint transfer visible.",Low,2025-01-12
CLM00044,Vehicle damaged by shopping cart blown by wind on 245 days ago. 2020 Chevrolet Silverado has dents on trunk. Security footage available.,Medium,2025-02-02
CLM00045,"Shopping cart dent on passenger side at Worcester shopping center on March 15, 2025. 2022 Acura MDX. Superficial damage only.",Low,2025-03-15
CLM00046,Shopping cart dent on quarter panel at Quincy shopping center on 02/01/2025. 2020 Chevrolet Silverado. Superficial damage only.,Low,2025-02-01
CLM00047,Shopping cart dent on headlight at Waltham shopping center on 04/19/2025. 2018 Jeep Wrangler. Superficial damage only.,Low,2025-04-19
CLM00048,Broken trunk discovered on 365 days ago at Boston Plaza. Likely vandalism while parked. 2018 Jeep Wrangler.,Low,2024-10-05
CLM00049,Minor scrape on passenger side while parking on 147 days ago at Medford Shopping Center. 2020 Kia Sorento. Paint transfer visible.,Low,2025-05-11
CLM00050,"Vehicle struck by falling branch during storm on January 19, 2025. 2021 Tesla Model 3 has damage to headlight and windshield. Tree maintenance company notified.",Medium,2025-01-19
CLM00051,Minor bumper contact in parking garage on 06/26/2025. 2020 Lexus RX. Both parties exchanged information.,Low,2025-06-26
CLM00052,Rear-ended at intersection of Maple Drive and River Road in Worcester on 04/02/2025. My 2022 Acura MDX sustained moderate damage to hood. Police report filed.,Medium,2025-04-02
CLM00053,"Windshield chip from road debris on March 29, 2025 while driving on Church St. 2020 Subaru Outback. Small chip needs repair before it spreads.",Low,2025-03-29
CLM00054,Small dent from hail storm on 75 days ago. 2020 Lexus RX parked at Waltham Plaza. quarter panel affected.,Low,2025-07-22
CLM00055,Vehicle damaged by shopping cart blown by wind on 01/17/2025. 2020 Lexus RX has dents on front bumper. Security footage available.,Medium,2025-01-17
CLM00056,Hit by opening car door on 114 days ago at Newton Shopping Center. Damage to tail light of my 2022 Acura MDX. Other party admitted fault.,Medium,2025-06-13
CLM00057,Head-on collision on Forest Drive near Worcester on 05/19/2025. 2022 Mercedes-Benz C-Class sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.,High,2025-05-19
CLM00058,Minor bumper contact in parking garage on 12/08/2024. 2021 Volkswagen Jetta. Both parties exchanged information.,Low,2024-12-08
CLM00059,"Minor bumper contact in parking garage on October 18, 2024. 2021 Volkswagen Jetta. Both parties exchanged information.",Low,2024-10-18
CLM00060,"Tree fell on 2021 Volvo XC90 during severe storm on 07/23/2025 at 5177 Lake Street, Lynn. Roof crushed, all windows broken. Vehicle not drivable. Major structural damage. Storm damage claim.",High,2025-07-23
CLM00061,Vehicle struck by falling branch during storm on 153 days ago. 2022 Acura MDX has damage to headlight and windshield. Tree maintenance company notified.,Medium,2025-05-05
CLM00062,"Shopping cart dent on front bumper at Quincy shopping center on September 20, 2025. 2020 Lexus RX. Superficial damage only.",Low,2025-09-20
CLM00063,Minor bumper contact in parking garage on 05/16/2025. 2019 Hyundai Elantra. Both parties exchanged information.,Low,2025-05-16
CLM00064,Side-swiped on highway near Brookline on 246 days ago. 2022 Mercedes-Benz C-Class has damage to trunk and passenger side. Other driver cited for unsafe lane change.,Medium,2025-02-01
CLM00065,Tire damage from pothole on Union Street on 169 days ago. 2020 Lexus RX. Tire needs replacement.,Low,2025-04-19
CLM00066,"Shopping cart dent on headlight at Newton shopping center on October 21, 2024. 2020 Kia Sorento. Superficial damage only.",Low,2024-10-21
