claim_id,description,actual_severity,filing_date
CLM00001,Hit by opening car door on 01/27/2025 at Somerville Parking Garage. Damage to fender of my 2022 Mercedes-Benz C-Class. Other party admitted fault.,Medium,2025-01-27
CLM00002,Rear-ended at intersection of Elm Street and Oak Ave in Boston on 03/10/2025. My 2020 Chevrolet Silverado sustained moderate damage to fender. Police report filed.,Medium,2025-03-10
CLM00003,Broken fender discovered on 02/21/2025 at Somerville Shopping Center. Likely vandalism while parked. 2019 Hyundai Elantra.,Low,2025-02-21
CLM00004,Shopping cart dent on passenger side at Somerville shopping center on 292 days ago. 2021 Volkswagen Jetta. Superficial damage only.,Low,2024-12-17
CLM00005,"Minor bumper contact in parking garage on August 21, 2025. 2019 Infiniti Q50. Both parties exchanged information.",Low,2025-08-21
CLM00006,"Bird damage to paint on hood on December 10, 2024. 2020 Chevrolet Silverado. Etching visible, needs touch-up.",Low,2024-12-10
CLM00007,Hit and run while parked on 56 days ago at Springfield Parking Garage. 2020 Chevrolet Silverado has significant damage to windshield. Witnesses provided partial plate number.,Medium,2025-08-10
CLM00008,"Small scratch along hood noticed on June 24, 2025. Unknown cause. 2019 Infiniti Q50 parked at Hartford Plaza.",Low,2025-06-24
CLM00009,Fender bender on 05/15/2025 at Pine Road in Quincy. 2021 Volvo XC90 damage to driver side door. Both drivers remained at scene.,Medium,2025-05-15
CLM00010,Hit and run while parked on 230 days ago at Newton Mall. 2019 Infiniti Q50 has significant damage to driver side door. Witnesses provided partial plate number.,Medium,2025-02-17
CLM00011,Minor scrape on side mirror while parking on 07/10/2025 at Hartford Parking Garage. 2019 Honda Accord. Paint transfer visible.,Low,2025-07-10
CLM00012,Rear-ended at intersection of School Road and Pleasant St in Lowell on 21 days ago. My 2018 Jeep Wrangler sustained moderate damage to fender. Police report filed.,Medium,2025-09-14
CLM00013,"Minor parking lot incident on November 12, 2024. Small scratch on headlight of my 2019 Nissan Altima. No injuries. Other party left contact information.",Low,2024-11-12
CLM00014,Hit by opening car door on 197 days ago at Quincy Parking Garage. Damage to passenger side of my 2019 Honda Accord. Other party admitted fault.,Medium,2025-03-22
CLM00015,"Tire damage from pothole on School Road on June 12, 2025. 2021 Mazda CX-5. Tire needs replacement.",Low,2025-06-12
CLM00016,Minor collision at stoplight on 11/23/2024. 2020 GMC Sierra bumped from behind. Damage to side mirror.,Medium,2024-11-23
CLM00017,"My 2018 Dodge Ram was struck by drunk driver on 188 days ago at Providence Mall. Extensive damage to quarter panel, driver side door, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-03-31
CLM00018,"Bird damage to paint on hood on November 06, 2024. 2021 Tesla Model 3. Etching visible, needs touch-up.",Low,2024-11-06
CLM00019,"Head-on collision on Hill Ave near Newton on September 24, 2025. 2020 Chevrolet Silverado sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.",High,2025-09-24
CLM00020,"Shopping cart dent on front bumper at Medford shopping center on November 18, 2024. 2022 Acura MDX. Superficial damage only.",Low,2024-11-18
CLM00021,Broken front bumper discovered on 02/28/2025 at Boston Mall. Likely vandalism while parked. 2018 Ford F-150.,Low,2025-02-28
CLM00022,Windshield chip from road debris on 113 days ago while driving on Pine Road. 2019 Infiniti Q50. Small chip needs repair before it spreads.,Low,2025-06-14
CLM00023,"Minor bumper contact in parking garage on February 26, 2025. 2019 Nissan Altima. Both parties exchanged information.",Low,2025-02-26
CLM00024,Broken quarter panel discovered on 47 days ago at Newton Shopping Center. Likely vandalism while parked. 2020 Chevrolet Silverado.,Low,2025-08-19
CLM00025,"Devastating hail storm on February 12, 2025 damaged 2021 Mazda CX-5 and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2025-02-12
CLM00026,Broken windshield discovered on 04/17/2025 at Malden Parking Garage. Likely vandalism while parked. 2022 Mercedes-Benz C-Class.,Low,2025-04-17
CLM00027,Minor bumper contact in parking garage on 06/13/2025. 2021 Volvo XC90. Both parties exchanged information.,Low,2025-06-13
CLM00028,Rear-ended at intersection of Oak Ave and Union Street in Lynn on 03/26/2025. My 2021 Mazda CX-5 sustained moderate damage to windshield. Police report filed.,Medium,2025-03-26
CLM00029,"Backed into pole in parking lot on 96 days ago at Springfield Parking Garage. 2018 Dodge Ram has dent in side mirror. My fault, estimated repair cost $3,500.",Medium,2025-07-01
CLM00030,Tire damage from pothole on Union Street on 05/04/2025. 2020 Kia Sorento. Tire needs replacement.,Low,2025-05-04
CLM00031,Small dent from hail storm on 01/09/2025. 2019 Nissan Altima parked at Cambridge Parking Garage. fender affected.,Low,2025-01-09
CLM00032,"Minor scrape on quarter panel while parking on October 22, 2024 at Cambridge Mall. 2021 Volkswagen Jetta. Paint transfer visible.",Low,2024-10-22
CLM00033,Minor scrape on fender while parking on 77 days ago at Worcester Parking Garage. 2020 Chevrolet Silverado. Paint transfer visible.,Low,2025-07-20
CLM00034,"Minor scrape on fender while parking on April 01, 2025 at Malden Plaza. 2020 GMC Sierra. Paint transfer visible.",Low,2025-04-01
CLM00035,"Hit and run while parked on August 10, 2025 at Brookline Parking Garage. 2022 BMW X5 has significant damage to tail light. Witnesses provided partial plate number.",Medium,2025-08-10
CLM00036,Shopping cart dent on headlight at Waltham shopping center on 11/08/2024. 2020 GMC Sierra. Superficial damage only.,Low,2024-11-08
CLM00037,"Minor parking lot incident on June 16, 2025. Small scratch on side mirror of my 2021 Tesla Model 3. No injuries. Other party left contact information.",Low,2025-06-16
CLM00038,"Vehicle damaged by shopping cart blown by wind on April 07, 2025. 2020 Lexus RX has dents on side mirror. Security footage available.",Medium,2025-04-07
CLM00039,Small dent from hail storm on 10/27/2024. 2019 Hyundai Elantra parked at Newton Shopping Center. side mirror affected.,Low,2024-10-27
CLM00040,Minor parking lot incident on 06/14/2025. Small scratch on side mirror of my 2022 Mercedes-Benz C-Class. No injuries. Other party left contact information.,Low,2025-06-14
CLM00041,"Windshield chip from road debris on October 26, 2024 while driving on Broadway. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.",Low,2024-10-26
CLM00042,"Fender bender on August 09, 2025 at Oak Ave in Waltham. 2019 Audi A4 damage to windshield. Both drivers remained at scene.",Medium,2025-08-09
CLM00043,Minor scrape on driver side door while parking on 07/11/2025 at Lowell Plaza. 2019 Hyundai Elantra. Paint transfer visible.,Low,2025-07-11
CLM00044,"Minor parking lot incident on October 24, 2024. Small scratch on driver side door of my 2020 Lexus RX. No injuries. Other party left contact information.",Low,2024-10-24
CLM00045,"Bird damage to paint on hood on 17 days ago. 2019 Honda Accord. Etching visible, needs touch-up.",Low,2025-09-18
CLM00046,Collision with deer on Pleasant St near Somerville on 292 days ago. 2019 Nissan Altima has front-end damage including windshield and rear bumper. Police report available.,Medium,2024-12-17
CLM00047,Collision with deer on Spring St near Lynn on 12/03/2024. 2021 Volvo XC90 has front-end damage including headlight and windshield. Police report available.,Medium,2024-12-03
CLM00048,"Tire damage from pothole on Summer St on September 10, 2025. 2022 BMW X5. Tire needs replacement.",Low,2025-09-10
CLM00049,Broken driver side door discovered on 246 days ago at Quincy Plaza. Likely vandalism while parked. 2018 Dodge Ram.,Low,2025-02-01
CLM00050,Hit by opening car door on 222 days ago at Waltham Mall. Damage to windshield of my 2022 Acura MDX. Other party admitted fault.,Medium,2025-02-25
CLM00051,Windshield chip from road debris on 289 days ago while driving on Lake Street. 2021 Tesla Model 3. Small chip needs repair before it spreads.,Low,2024-12-20
CLM00052,"Bird damage to paint on hood on November 28, 2024. 2022 BMW X5. Etching visible, needs touch-up.",Low,2024-11-28
